i j mp formula
3 3 mp-10181 LiSiNi2
4 4 mp-10181 LiSiNi2
5 5 mp-10181 LiSiNi2
6 6 mp-10181 LiSiNi2
1 1 mp-5920 LiAlGe
1 2 mp-5920 LiAlGe
1 3 mp-5920 LiAlGe
2 1 mp-5920 LiAlGe
2 2 mp-5920 LiAlGe
2 3 mp-5920 LiAlGe
3 1 mp-5920 LiAlGe
3 2 mp-5920 LiAlGe
3 3 mp-5920 LiAlGe
4 4 mp-5920 LiAlGe
5 5 mp-5920 LiAlGe
6 6 mp-5920 LiAlGe
1 1 mp-12580 Li2CdSn
1 2 mp-12580 Li2CdSn
1 3 mp-12580 Li2CdSn
2 1 mp-12580 Li2CdSn
2 2 mp-12580 Li2CdSn
2 3 mp-12580 Li2CdSn
3 1 mp-12580 Li2CdSn
3 2 mp-12580 Li2CdSn
3 3 mp-12580 Li2CdSn
4 4 mp-12580 Li2CdSn
5 5 mp-12580 Li2CdSn
6 6 mp-12580 Li2CdSn
1 1 mp-867222 LiCa2Ir
1 2 mp-867222 LiCa2Ir
1 3 mp-867222 LiCa2Ir
2 1 mp-867222 LiCa2Ir
2 2 mp-867222 LiCa2Ir
2 3 mp-867222 LiCa2Ir
3 1 mp-867222 LiCa2Ir
3 2 mp-867222 LiCa2Ir
3 3 mp-867222 LiCa2Ir
4 4 mp-867222 LiCa2Ir
5 5 mp-867222 LiCa2Ir
6 6 mp-867222 LiCa2Ir
1 1 mp-7575 LiZnN
1 2 mp-7575 LiZnN
1 3 mp-7575 LiZnN
2 1 mp-7575 LiZnN
2 2 mp-7575 LiZnN
2 3 mp-7575 LiZnN
3 1 mp-7575 LiZnN
3 2 mp-7575 LiZnN
3 3 mp-7575 LiZnN
4 4 mp-7575 LiZnN
5 5 mp-7575 LiZnN
6 6 mp-7575 LiZnN
1 1 mp-30591 Li2CuSn
1 2 mp-30591 Li2CuSn
1 3 mp-30591 Li2CuSn
2 1 mp-30591 Li2CuSn
2 2 mp-30591 Li2CuSn
2 3 mp-30591 Li2CuSn
3 1 mp-30591 Li2CuSn
3 2 mp-30591 Li2CuSn
3 3 mp-30591 Li2CuSn
4 4 mp-30591 Li2CuSn
5 5 mp-30591 Li2CuSn
6 6 mp-30591 Li2CuSn
1 1 mp-9472 LiAg2Ge
1 2 mp-9472 LiAg2Ge
1 3 mp-9472 LiAg2Ge
2 1 mp-9472 LiAg2Ge
2 2 mp-9472 LiAg2Ge
2 3 mp-9472 LiAg2Ge
3 1 mp-9472 LiAg2Ge
3 2 mp-9472 LiAg2Ge
3 3 mp-9472 LiAg2Ge
4 4 mp-9472 LiAg2Ge
5 5 mp-9472 LiAg2Ge
6 6 mp-9472 LiAg2Ge
1 1 mp-12411 Li2ZnGe
1 2 mp-12411 Li2ZnGe
